categories/0,categories/1,availableText,title,endedDate,type,price,subTitle,sold,shipsTo,priceWithCurrency,mpn,itemLocation,brand,available
Chairs,Electric Massage Chairs,More than 10 available29 sold,Brown PU Massage Recliner Chair Lazy Boy Sofa Heat Home Theater Seating w/Remote,,Massage Chair Recliner,339.99,,29,United States,US $339.99,S4500,"Los Angeles, California, United States",COSVALVE,10
Chairs,Electric Massage Chairs,More than 10 available238 sold,Brown PU Massage Heat Recliner Chair Lazy Boy Sofa Home Theater Seating w/Remote,,Massage Recliner Chair,339.99,,238,United States,US $339.99,S4500,"Los Angeles, California, United States",COSVALVE,10
Chairs,Electric Massage Chairs,More than 10 available52 sold,Black PU Massage Recliner Chair Lazy Boy Sofa Heat Home Theater Seating w/Remote,,Massage Chair Recliner,339.99,,52,United States,US $339.99,S4400,"Los Angeles, California, United States",COSVALVE,10
Electric Massage Chairs,Chairs,5 available1 sold,"AI Voice Full Body 4D Zero Gravity Massage Recliner Chair Thai SL-Track,24 Modes",,Recliner,2299.99,,1,United States,"US $2,299.99/ea",S600,"Los Angeles, California, United States",Artist hand,5
Chairs,,More than 10 available4 sold,Ergonomic Reclining Office Chair Heat & Massage High Back Footrest Desk Chair,,Recliner,124.99,,4,Worldwide,US $124.99,Does Not Apply,"Austell, Georgia, United States",OYAJIA,10
Chairs & Stools,,Limited quantity available15 sold,"Massage Office Chair with 6 Vibration Points, Heated Reclining Computer Chair",,Massage Office Chair,131.39,,15,United States,US $131.39/ea,US921-683V81BG0141,"Wilsonville, Oregon, United States",Vinsetto,
Chairs,,More than 10 available12 sold,Massage Heated Rocker Recliner Chair Home Theater Lounge Seat w/Cup Holder,,Massage Recliner Chair,279.99,,12,United States,US $279.99/ea,,"Atlanta, Georgia, United States",YODOLLA,10
Chairs,,7 available10 sold,Extra-Wide Massage Recliner Chair Heated Manual Reclining Sofa Cup Holders Brown,,Massage Recliner Chair,309.68,,10,United States,US $309.68,Does not apply,"Ontario, California, United States",Recliner,7
Chairs,,More than 10 available29 sold,"Massage Recliner Chair with Ottoman, 360° Swivel Recliner and Footstool",,Massage Recliner Chair with Ottoman,225.99,Waterproof PU & Easy Clean & Remote Control &Reclinable,29,United States,US $225.99/ea,US700-084V81BU0141,"Wilsonville, Oregon, United States",HOMCOM,10
Electric Massage Chairs,"Sofas, Armchairs & Couches",7 available110 sold,Esright Elderly Massage Recliner Chair Vibration Heated Rocker Swivel Lounge,,Recliner,249.99,,110,United States,US $249.99,YODOLLA-13003UCR/UCO,"Atlanta, Georgia, United States",Esright,7
"Sofas, Armchairs & Couches",,Last one1 sold,Massage Recliner Chair Padded Wide Seat Sofa Single Sofa wit Footrest PU Leather,,Armchair,129.98,,1,United States,US $129.98,,"Los Angeles, California, United States",,
Chairs,Electric Massage Chairs,More than 10 available18 sold,Black/Brown Massage Recliner Chair Lazy Boy Sofa Heat Home Theater Seating w/ RC,,Massage Chair Recliner,339.99,,18,United States,US $339.99,4400sa,"Los Angeles, California, United States",COSVALVE,10
"Sofas, Armchairs & Couches",Electric Massage Chairs,More than 10 available2 sold,Gray Electric Massage Recliner Chair Heat Rocking 360° Support to 450lbs w/ RC,,Massage Chair Recliner,399.9,,2,United States,US $399.90,U4721-4722,"Los Angeles, California, United States",COSVALVE,10
Chairs,,More than 10 available1 sold,3 PCS Leather Recliner Sofa Set with Swivel Massage Chair Home Theater Seat,,Massage Recliner Chair,299.98,,1,United States,US $299.98/ea,13096-98,"Atlanta, Georgia, United States",Yodolla,10
Chairs,Electric Massage Chairs,More than 10 available,Gray Electric Rocker Recliner Massage Chair Heat Rocking 360° Sofa 450LBS w/ RC,,Massage Chair Recliner,399.9,,,United States,US $399.90,S4721-4722,"Los Angeles, California, United States",COSVALVE,10
Chairs,,More than 10 available24 sold,Elderly Electric Power Lift chair Massage Recliner Chair Heat Vibration Sofa,,Recliner Chair,358.2,,24,United States,US $358.20,YTFT01209,"Dallas, TX, United States",YITAHOME,10
"Sofas, Armchairs & Couches",,More than 10 available1 sold,"Massage Recliner Chair with Heat,Vibration Side Pockets and Cup Holders",,Recliner,229.99,,1,United States,US $229.99,,"America, United States",Unbranded,10
"Sofas, Armchairs & Couches",Electric Massage Chairs,More than 10 available4 sold,Brown Massage Recliner Chair PU Lazy Boy Sofa Heat Home Theater Seating w/Remote,,Massage Chair Recliner,339.99,,4,United States,US $339.99,U4500,"Los Angeles, California, United States",COSVALVE,10
