brand,item_name,rating,comments,all_price ($),shipping_cost (+$) ,shipping from,sold_quantity (+),view_quantity,notice,image_url
Apple,"Apple iPhone 11 - 128GB 64GB - GSM+CDMA Factory Unlocked ""Excellent'",4,Pre-Owned,208.00 to 375.00,32.83,from United States,12,10,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung S20+ Plus 5G Unlocked G986U 128GB Spot,15,Pre-Owned,123.90 to 156.45,28.68,from United States,82,166,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 5G G981U Unlocked 128GB Very Good,150,Very Good - Refurbished,198,29.47,from United States,474,21,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 12 Unlocked 64GB 128GB 256GB | Verizon T-Mobile AT&T | Very Good,27,Very Good - Refurbished,404.98 to 424.98,25.56,from United States,68,89,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S20 | S20+ | S20 FE | S20 Ultra 5G 128GB - Unlocked Verizon AT&T,3,Open Box,134.95 to 329.95,22.05,from United States,109,99,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Galaxy,Galaxy Note 20 Ultra - 128GB - Black (Unlocked) (Read Description) BA1035,29,Pre-Owned,120,20.15,from United States,19,40,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
SAMSUNG,SAMSUNG GALAXY A54 128GB &256GB 5G DUAL SIM BRAND NEW SEALED PACK,1,Brand New,374.32 to 408.13,51.12,from United Kingdom,516,23,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Apple,Apple iPhone 13 mini - (Unlocked) - 128GB - 256GB - 512GB - Excellent,9,Excellent - Refurbished,499.00 to 549.00,35.19,from United States,77,38,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Google,Google Pixel 6 - 128GB - Stormy Black (Google Ed. Unlocked),9,Open Box,249.99,30.45,from United States,90,10,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
Samsung,Samsung Galaxy S22/S22+ & S22 Ultra Series 5G Smartphones- Carrier Unlocked,13,Open Box,359.99 to 869.99,34.82,from United States,90,103,Customs services and international tracking provided,https://i.ebayimg.com/thumbs/images/g/BI4AAOSwo5Rij4S0/s-l300.webp
